distance,time_stamp,destination,source,price,surge_multiplier,name,id
0.8,2018-11-26 17:51:24.491-07,Financial District,Haymarket Square,27.50,1.00,Black SUV,1712
0.92,2018-11-25 23:49:05.301-07,Haymarket Square,Financial District,7.00,1.00,UberX,1720
0.92,2018-11-26 14:23:10.586-07,Haymarket Square,Financial District,,1.00,Taxi,1721
2.66,2018-11-26 04:47:09.822-07,Fenway,Theatre District,24.00,1.00,Black,1769
2.84,2018-11-26 20:42:23.817-07,Fenway,West End,10.50,1.00,UberX,1783
2.84,2018-11-26 02:29:11.76-07,Fenway,West End,28.50,1.00,Black SUV,1791
2.86,2018-11-26 19:09:22.054-07,West End,Northeastern University,9.50,1.00,UberX,1837
2.29,2018-11-26 14:05:11.04-07,North Station,South Station,29.50,1.00,Black SUV,1843
2.01,2018-11-26 00:27:45.459-07,Beacon Hill,North End,10.50,1.00,UberX,1872
2.01,2018-11-26 19:42:22.11-07,Beacon Hill,North End,20.50,1.00,Black,1874
1.5,2018-11-26 18:54:23.315-07,Back Bay,Fenway,,1.00,Taxi,1922
0.92,2018-11-26 05:11:10.821-07,North Station,North End,7.00,1.00,UberX,1970
1.5,2018-11-26 09:17:10.62-07,Back Bay,Fenway,14.00,1.00,UberXL,1978
2.73,2018-11-25 23:21:01.818-07,Back Bay,North End,25.00,1.00,UberXL,1995
2.73,2018-11-26 11:32:10.709-07,Back Bay,North End,34.00,1.00,Black SUV,1996
3.07,2018-11-26 12:08:09.532-07,North Station,Fenway,9.00,1.00,UberPool,2000
0.54,2018-11-26 19:33:22.323-07,Financial District,South Station,15.00,1.00,Black,2004
3.05,2018-11-26 09:02:09.94-07,Fenway,North Station,23.00,1.00,Black,2016
3.05,2018-11-26 10:17:09.758-07,Fenway,North Station,10.00,1.00,UberPool,2017
2.65,2018-11-25 21:41:37.91-07,North Station,Fenway,29.50,1.00,Black SUV,2029
2.87,2018-11-26 07:02:09.67-07,West End,Northeastern University,10.00,1.00,UberPool,2042
2.87,2018-11-26 11:05:11.076-07,West End,Northeastern University,26.50,1.00,Black,2045
0.91,2018-11-26 19:15:23.758-07,Beacon Hill,Haymarket Square,16.00,1.00,Black,2048
0.91,2018-11-26 20:48:22.046-07,Beacon Hill,Haymarket Square,26.00,1.00,Black SUV,2050
0.56,2018-11-26 06:50:10.243-07,Haymarket Square,North Station,26.00,1.00,Black SUV,2056
0.56,2018-11-26 10:32:09.595-07,Haymarket Square,North Station,,1.00,Taxi,2059
1.64,2018-11-26 15:54:10.928-07,Back Bay,Northeastern University,,1.00,Taxi,2112
2.14,2018-11-26 11:56:09.541-07,South Station,West End,7.50,1.00,UberPool,2168
2.48,2018-11-26 21:12:21.839-07,South Station,Beacon Hill,8.50,1.00,UberPool,2175
2.33,2018-11-26 05:38:09.858-07,North End,Back Bay,25.00,1.00,Black,2195
2.33,2018-11-26 00:46:11.818-07,North End,Back Bay,34.00,1.00,Black SUV,2198
3.06,2018-11-26 23:54:22.092-07,Fenway,North Station,26.50,1.00,Black,2255
0.61,2018-11-26 02:32:09.94-07,West End,Haymarket Square,15.50,1.00,Black,2262
3.01,2018-11-26 19:33:22.164-07,Boston University,North Station,16.00,1.00,UberXL,2267
4.72,2018-11-26 10:56:09.65-07,Financial District,Boston University,14.00,1.00,WAV,2284
1.08,2018-11-26 18:18:35.348-07,North End,North Station,,1.00,Taxi,2292
1.17,2018-11-26 07:05:10.857-07,Financial District,Boston University,4.50,1.00,UberPool,2303
2.58,2018-11-26 23:00:23.426-07,Beacon Hill,South Station,14.00,1.00,UberXL,2313
2.58,2018-11-26 22:00:23.472-07,Beacon Hill,South Station,9.50,1.00,UberX,2317
2.58,2018-11-26 11:26:09.999-07,Beacon Hill,South Station,19.50,1.00,Black,2318
1.56,2018-11-26 18:03:22.024-07,Back Bay,Boston University,,1.00,Taxi,2331
1.56,2018-11-26 19:27:22.18-07,Back Bay,Boston University,8.00,1.00,UberX,2332
3.05,2018-11-25 23:50:31.822-07,Fenway,North Station,25.00,1.00,Black,2336
3.05,2018-11-26 23:42:23.459-07,Fenway,North Station,35.00,1.00,Black SUV,2338
1.61,2018-11-26 17:21:14.595-07,Haymarket Square,Theatre District,8.50,1.00,UberX,2356
0.55,2018-11-26 21:00:21.909-07,South Station,Theatre District,6.50,1.00,UberPool,2372
0.55,2018-11-26 22:06:22.312-07,South Station,Theatre District,7.00,1.00,UberX,2373
0.49,2018-11-26 16:48:14.376-07,North Station,Haymarket Square,,1.00,Taxi,2392
7.46,2018-11-26 07:08:09.586-07,Northeastern University,Financial District,45.00,1.00,Black SUV,2410
1.56,2018-11-26 16:30:14.237-07,Back Bay,Boston University,7.00,1.00,UberPool,2417
1.56,2018-11-26 21:12:23.614-07,Back Bay,Boston University,26.00,1.00,Black SUV,2419
3.05,2018-11-25 23:25:02.386-07,Fenway,North Station,10.50,1.00,UberX,2462
1.61,2018-11-26 15:17:10.935-07,Haymarket Square,Theatre District,,1.00,Taxi,2467
3.07,2018-11-26 17:42:15.147-07,North Station,Fenway,10.50,1.00,WAV,2487
1.28,2018-11-26 13:47:10.204-07,Theatre District,South Station,,1.00,Taxi,2502
1.16,2018-11-26 16:51:14.216-07,Theatre District,Haymarket Square,27.50,1.00,Black SUV,2534
0.98,2018-11-26 09:11:09.658-07,North End,West End,,1.00,Taxi,2566
0.98,2018-11-26 11:26:09.746-07,North End,West End,15.00,1.00,Black,2567
1.5,2018-11-26 23:39:23.556-07,Back Bay,Fenway,26.50,1.00,Black SUV,2574
1.04,2018-11-26 02:26:10.72-07,Financial District,North End,8.00,1.00,WAV,2600
0.72,2018-11-26 20:21:23.566-07,Haymarket Square,West End,15.00,1.00,Black,2620
3.22,2018-11-26 01:21:02.996-07,North Station,Northeastern University,37.00,1.00,Black SUV,2645
2.66,2018-11-26 23:18:22.113-07,Fenway,Theatre District,24.00,1.00,Black,2651
1.8,2018-11-26 06:53:10.586-07,Northeastern University,Theatre District,8.00,1.00,UberPool,2668
1.8,2018-11-26 05:32:11.092-07,Northeastern University,Theatre District,9.50,1.00,UberX,2673
1.8,2018-11-26 19:18:23.711-07,Northeastern University,Theatre District,14.00,1.00,UberXL,2674
1.5,2018-11-26 21:33:22.304-07,Back Bay,Fenway,7.00,1.00,WAV,2693
0.61,2018-11-26 21:09:23.616-07,West End,Haymarket Square,7.50,1.00,WAV,2708
3.39,2018-11-26 00:26:20.468-07,North Station,Boston University,23.00,1.00,Black,2721
0.55,2018-11-26 11:20:10.05-07,South Station,Theatre District,7.50,1.00,UberPool,2735
1.22,2018-11-26 17:45:24.095-07,Northeastern University,Back Bay,6.50,1.00,UberPool,2755
4.4,2018-11-25 22:03:01.124-07,Financial District,Fenway,10.00,1.00,UberPool,2760
2.59,2018-11-26 12:29:09.719-07,Beacon Hill,Northeastern University,10.50,1.00,WAV,2767
1.35,2018-11-26 04:11:10.144-07,Haymarket Square,Beacon Hill,,1.00,Taxi,2780
3.01,2018-11-26 19:00:22.088-07,Boston University,North Station,12.50,1.00,WAV,2826
1.64,2018-11-26 05:32:10.864-07,Back Bay,Northeastern University,17.50,1.00,Black,2833
0.39,2018-11-26 08:23:09.783-07,South Station,Financial District,7.00,1.00,WAV,2851
1.08,2018-11-26 12:50:09.703-07,North End,North Station,26.00,1.00,Black SUV,2858
3.05,2018-11-26 16:33:14.681-07,Fenway,North Station,,1.00,Taxi,2861
3.05,2018-11-26 16:45:14.029-07,Fenway,North Station,25.00,1.00,Black,2863
3.05,2018-11-26 19:33:21.993-07,Fenway,North Station,14.00,1.00,WAV,2870
4.48,2018-11-26 09:20:10.587-07,Fenway,Financial District,21.50,1.00,UberXL,2897
2.32,2018-11-26 13:02:09.833-07,Haymarket Square,Back Bay,20.50,1.00,Black,2912
2.32,2018-11-26 13:05:10.108-07,Haymarket Square,Back Bay,31.00,1.00,Black SUV,2913
0.99,2018-11-26 16:15:14.406-07,Financial District,Haymarket Square,27.00,1.00,Black SUV,2920
3.45,2018-11-26 02:47:09.428-07,South Station,Back Bay,10.00,1.00,UberPool,2935
1.64,2018-11-26 16:06:10.206-07,Back Bay,Northeastern University,26.50,1.00,Black SUV,2944
1.64,2018-11-26 04:05:09.739-07,Back Bay,Northeastern University,,1.00,Taxi,2948
0.39,2018-11-26 18:39:23.801-07,South Station,Financial District,9.50,1.00,UberXL,2951
1.16,2018-11-26 01:22:01.59-07,Theatre District,Haymarket Square,13.00,1.00,UberXL,2959
3.05,2018-11-26 20:36:23.53-07,Fenway,North Station,26.00,1.00,Black,2969
1.5,2018-11-26 14:02:10.127-07,Back Bay,Fenway,,1.00,Taxi,2980
1.5,2018-11-25 22:28:07.907-07,Back Bay,Fenway,17.00,1.00,Black,2981
0.56,2018-11-26 22:39:23.405-07,Haymarket Square,North Station,7.00,1.00,WAV,2987
2.74,2018-11-26 07:20:11.882-07,Back Bay,North End,,1.00,Taxi,2994
1.08,2018-11-26 04:08:09.667-07,North End,North Station,15.00,1.00,Black,2999
1.08,2018-11-26 20:03:23.585-07,North End,North Station,7.00,1.00,WAV,3001
2.86,2018-11-26 16:30:14.745-07,West End,Northeastern University,10.50,1.00,UberX,3006
2.2,2018-11-26 04:05:09.738-07,Haymarket Square,Back Bay,17.00,1.00,UberXL,3016
2.32,2018-11-26 05:56:09.701-07,Haymarket Square,Back Bay,9.50,1.00,UberX,3022
0.39,2018-11-26 09:11:10.078-07,South Station,Financial District,16.00,1.00,Black,3036
1.16,2018-11-26 18:39:21.955-07,Theatre District,Haymarket Square,7.50,1.00,UberX,3040
1.9,2018-11-25 23:49:45.412-07,Beacon Hill,North End,28.50,1.00,Black SUV,3050
1.11,2018-11-26 16:51:14.174-07,West End,North End,12.50,1.00,UberXL,3057
1.35,2018-11-26 23:42:22.049-07,Haymarket Square,Beacon Hill,10.00,1.00,UberPool,3061
2.86,2018-11-26 17:21:14.411-07,West End,Northeastern University,8.50,1.00,UberX,3110
1.34,2018-11-26 15:54:10.47-07,Fenway,Back Bay,11.00,1.00,UberXL,3126
2.32,2018-11-26 18:06:22.59-07,Fenway,Beacon Hill,22.00,1.00,Black,3146
2.33,2018-11-26 08:32:09.82-07,North End,Back Bay,,1.00,Taxi,3150
1.04,2018-11-26 07:50:09.933-07,Financial District,North End,15.00,1.00,Black,3155
1.21,2018-11-26 23:33:21.927-07,North End,Financial District,26.00,1.00,Black SUV,3178
1.21,2018-11-26 22:21:21.887-07,North End,Financial District,7.50,1.00,WAV,3180
1.21,2018-11-26 19:48:22.387-07,North End,Financial District,16.00,1.00,Black,3181
3.3,2018-11-26 13:38:09.821-07,Northeastern University,Financial District,10.50,1.00,UberX,3206
1.23,2018-11-26 19:21:22.005-07,North End,West End,12.50,1.00,UberXL,3222
2.48,2018-11-26 20:30:23.734-07,South Station,Beacon Hill,15.00,1.00,UberXL,3226
2.3,2018-11-26 06:56:09.62-07,Back Bay,Haymarket Square,22.00,1.00,Black,3228
2.3,2018-11-26 19:24:22.353-07,Back Bay,Haymarket Square,16.00,1.00,UberXL,3230
2.98,2018-11-26 17:15:13.509-07,Theatre District,Boston University,16.00,1.00,UberXL,3238
2.98,2018-11-26 16:36:14.58-07,Theatre District,Boston University,9.50,1.00,WAV,3240
1.34,2018-11-26 12:23:09.726-07,Financial District,North End,,1.00,Taxi,3255
0.55,2018-11-26 18:45:23.359-07,South Station,Theatre District,27.00,1.00,Black SUV,3257
7.46,2018-11-26 20:21:21.97-07,Northeastern University,Financial District,,1.00,Taxi,3292
2.35,2018-11-26 20:39:24.037-07,Haymarket Square,Back Bay,,1.00,Taxi,3297
2.72,2018-11-26 17:51:23.584-07,West End,Fenway,16.00,1.00,UberXL,3302
2.32,2018-11-26 19:39:23.972-07,Fenway,Beacon Hill,8.00,1.00,UberPool,3310
2.32,2018-11-26 19:27:22.396-07,Fenway,Beacon Hill,19.50,1.00,Black,3312
4.4,2018-11-26 01:22:00.921-07,Financial District,Fenway,11.00,1.00,UberX,3318
1.97,2018-11-26 09:11:10.435-07,Northeastern University,Beacon Hill,,1.00,Taxi,3339
0.49,2018-11-26 09:56:09.862-07,North Station,Haymarket Square,16.00,1.00,Black,3353
0.55,2018-11-26 20:12:22.218-07,South Station,Theatre District,16.00,1.00,Black,3358
3.16,2018-11-26 05:44:10.05-07,North End,Back Bay,17.50,1.00,UberXL,3373
1.34,2018-11-26 06:20:09.938-07,Fenway,Back Bay,23.00,1.00,Black SUV,3379
2.38,2018-11-26 18:03:23.752-07,North Station,South Station,22.00,1.00,Black,3398
2.38,2018-11-26 19:57:21.975-07,North Station,South Station,16.00,1.00,UberXL,3399
3.2,2018-11-26 20:39:22.938-07,Northeastern University,West End,30.50,1.00,Black SUV,3404
1.5,2018-11-26 11:44:11.144-07,Back Bay,Fenway,6.50,1.00,UberPool,3447
2.85,2018-11-26 22:36:23.526-07,Northeastern University,Beacon Hill,11.50,1.00,WAV,3455
4.4,2018-11-26 20:00:23.497-07,Financial District,Fenway,14.00,1.00,UberX,3459
4.4,2018-11-26 18:48:23.674-07,Financial District,Fenway,25.00,1.00,UberXL,3464
0.62,2018-11-26 12:35:10.042-07,West End,Haymarket Square,26.00,1.00,Black SUV,3465
3.01,2018-11-26 06:05:10.139-07,Boston University,North Station,23.00,1.00,Black,3487
4.74,2018-11-26 04:29:09.708-07,Financial District,Boston University,33.00,1.00,Black,3511
4.74,2018-11-26 17:54:22.214-07,Financial District,Boston University,,1.00,Taxi,3512
4.4,2018-11-26 09:38:10.568-07,Financial District,Fenway,,1.00,Taxi,3556
4.4,2018-11-26 22:21:22.011-07,Financial District,Fenway,31.50,1.00,Black,3557
2.84,2018-11-26 21:51:22.111-07,Fenway,West End,,1.00,Taxi,3569
2.84,2018-11-26 05:14:10.034-07,Fenway,West End,9.50,1.00,WAV,3573
3.05,2018-11-26 19:36:22.444-07,Fenway,North Station,17.50,1.00,UberXL,3578
0.54,2018-11-26 07:20:09.562-07,Financial District,South Station,,1.00,Taxi,3600
0.56,2018-11-26 18:06:21.965-07,Haymarket Square,North Station,7.00,1.00,WAV,3628
3.04,2018-11-26 12:56:09.746-07,West End,Boston University,8.50,1.00,WAV,3635
2.29,2018-11-26 05:02:10.262-07,North Station,South Station,,1.00,Taxi,3684
4.4,2018-11-26 17:43:40.656-07,Financial District,Fenway,41.50,1.00,Black SUV,3692
1.41,2018-11-26 06:26:09.672-07,Theatre District,North End,10.00,1.00,UberPool,3701
1.41,2018-11-26 05:56:10.082-07,Theatre District,North End,15.00,1.00,UberXL,3705
1.41,2018-11-26 22:00:23.745-07,Theatre District,North End,26.50,1.00,Black SUV,3706
1.41,2018-11-26 23:21:22.037-07,Theatre District,North End,,1.00,Taxi,3707
2.49,2018-11-26 10:59:09.872-07,Back Bay,South Station,14.50,1.00,UberPool,3719
3.07,2018-11-26 13:56:10.395-07,North Station,Fenway,,1.00,Taxi,3729
3.16,2018-11-26 20:51:23.644-07,North End,Back Bay,35.00,1.00,Black SUV,3737
3.16,2018-11-26 18:03:23.642-07,North End,Back Bay,11.00,1.00,UberPool,3739
2.86,2018-11-25 22:14:02.655-07,West End,Northeastern University,20.50,1.00,Black,3759
1.97,2018-11-26 20:06:22.253-07,Northeastern University,Beacon Hill,9.00,1.00,UberX,3771
2.33,2018-11-26 09:35:10.394-07,North End,Back Bay,9.00,1.00,UberPool,3802
2.74,2018-11-26 13:29:10.324-07,West End,South Station,22.50,1.00,Black,3812
